unit_id,apn,address,unit_label,bedrooms,first_seen_at
1002-marine-st-12,4285036023,1002 MARINE ST,12,0,2026-06-07
1002-marine-st-13,4285036023,1002 MARINE ST,13,0,2026-06-07
1002-marine-st-14,4285036023,1002 MARINE ST,14,0,2026-06-07
1002-marine-st-15,4285036023,1002 MARINE ST,15,0,2026-06-07
1002-marine-st-16,4285036023,1002 MARINE ST,16,0,2026-06-07
1002-marine-st-2,4285036023,1002 MARINE ST,2,0,2026-06-07
1002-marine-st-3,4285036023,1002 MARINE ST,3,0,2026-06-07
1002-marine-st-4,4285036023,1002 MARINE ST,4,0,2026-06-07
1002-marine-st-5,4285036023,1002 MARINE ST,5,0,2026-06-07
1002-marine-st-6,4285036023,1002 MARINE ST,6,0,2026-06-07
1002-marine-st-7,4285036023,1002 MARINE ST,7,0,2026-06-07
1002-marine-st-8,4285036023,1002 MARINE ST,8,0,2026-06-07
1002-marine-st-9,4285036023,1002 MARINE ST,9,0,2026-06-07
1002-montana-ave,4281024024,1002 MONTANA AVE,,0,2026-06-07
1002-pier-ave,4285029023,1002 PIER AVE,,2,2026-06-07
1002-pier-ave-a,4285029023,1002 PIER AVE,A,2,2026-06-07
1003-12th-st,4281018024,1003 12TH ST,,1,2026-06-07
1003-ashland-ave,4285012014,1003 ASHLAND AVE,,1,2026-06-07
1003-ashland-ave-a,4285012014,1003 ASHLAND AVE,A,1,2026-06-07
1003-ashland-ave-b,4285012014,1003 ASHLAND AVE,B,2,2026-06-07
1003-ashland-ave-c,4285012014,1003 ASHLAND AVE,C,3,2026-06-07
1003-broadway,4282025015,1003 BROADWAY,,0,2026-06-07
1003-grant-st,4284015021,1003 GRANT ST,,2,2026-06-07
1003-michigan-ave,4283017023,1003 MICHIGAN AVE,,1,2026-06-07
1003-washington-ave,4281025013,1003 WASHINGTON AVE,,1,2026-06-07
1004-10th-st,4281029001,1004 10TH ST,,3,2026-06-07
1004-hill-st,4285012031,1004 HILL ST,,4,2026-06-07
1004-michigan-ave,4283023017,1004 MICHIGAN AVE,,2,2026-06-07
1004-montana-ave,4281024024,1004 MONTANA AVE,,0,2026-06-07
1004-pine-st,4284010001,1004 PINE ST,,2,2026-06-07
1005-5th-st-a,4292011021,1005 5TH ST,A,1,2026-06-07
1005-5th-st-b,4292011021,1005 5TH ST,B,0,2026-06-07
1005-ashland-ave,4285012014,1005 ASHLAND AVE,,1,2026-06-07
1005-ashland-ave-a,4285012014,1005 ASHLAND AVE,A,1,2026-06-07
1005-ashland-ave-b,4285012014,1005 ASHLAND AVE,B,1,2026-06-07
1005-ashland-ave-c,4285012014,1005 ASHLAND AVE,C,1,2026-06-07
1005-hill-st-1,4285001007,1005 HILL ST,1,2,2026-06-07
1005-hill-st-2,4285001007,1005 HILL ST,2,2,2026-06-07
1005-hill-st-3,4285001007,1005 HILL ST,3,2,2026-06-07
1005-hill-st-4,4285001007,1005 HILL ST,4,1,2026-06-07
1005-hill-st-5,4285001007,1005 HILL ST,5,2,2026-06-07
1005-hill-st-6,4285001007,1005 HILL ST,6,2,2026-06-07
1005-hill-st-7,4285001007,1005 HILL ST,7,1,2026-06-07
1005-michigan-ave,4283017023,1005 MICHIGAN AVE,,1,2026-06-07
1005-washington-ave,4281025013,1005 WASHINGTON AVE,,1,2026-06-07
1006-21st-st,4277024021,1006 21ST ST,,2,2026-06-07
1006-21st-st-a,4277024021,1006 21ST ST,A,0,2026-06-07
1006-21st-st-b,4277024021,1006 21ST ST,B,1,2026-06-07
1006-21st-st-c,4277024021,1006 21ST ST,C,1,2026-06-07
1006-michigan-ave,4283023017,1006 MICHIGAN AVE,,1,2026-06-07
1006-montana-ave,4281024024,1006 MONTANA AVE,,0,2026-06-07
1007-12th-st,4281018023,1007 12TH ST,,2,2026-06-07
1007-16th-st,4281003020,1007 16TH ST,,1,2026-06-07
1007-16th-st-1-2,4281003020,1007 16TH ST,1/2,1,2026-06-07
1007-20th-st-1,4277024061,1007 20TH ST,1,3,2026-06-07
1007-20th-st-10,4277024070,1007 20TH ST,10,3,2026-06-07
1007-20th-st-2,4277024062,1007 20TH ST,2,3,2026-06-07
1007-20th-st-3,4277024063,1007 20TH ST,3,3,2026-06-07
1007-20th-st-4,4277024064,1007 20TH ST,4,3,2026-06-07
1007-20th-st-5,4277024065,1007 20TH ST,5,2,2026-06-07
1007-20th-st-6,4277024066,1007 20TH ST,6,2,2026-06-07
1007-20th-st-7,4277024067,1007 20TH ST,7,2,2026-06-07
1007-20th-st-8,4277024068,1007 20TH ST,8,2,2026-06-07
1007-20th-st-9,4277024069,1007 20TH ST,9,3,2026-06-07
1007-9th-st-1,4281029021,1007 9TH ST,1,2,2026-06-07
1007-9th-st-2,4281029021,1007 9TH ST,2,1,2026-06-07
1007-9th-st-3,4281029021,1007 9TH ST,3,0,2026-06-07
1007-grant-st,4284015020,1007 GRANT ST,,3,2026-06-07
1007-grant-st-1,4284015020,1007 GRANT ST,1,3,2026-06-07
1007-grant-st-3,4284015020,1007 GRANT ST,3,1,2026-06-07
1007-lincoln-blvd-1,4281034024,1007 LINCOLN BLVD,1,1,2026-06-07
1007-lincoln-blvd-10,4281034024,1007 LINCOLN BLVD,10,3,2026-06-07
1007-lincoln-blvd-11,4281034024,1007 LINCOLN BLVD,11,2,2026-06-07
1007-lincoln-blvd-2,4281034024,1007 LINCOLN BLVD,2,1,2026-06-07
1007-lincoln-blvd-3,4281034024,1007 LINCOLN BLVD,3,2,2026-06-07
