parcel_id,street_number,street_name,apn,first_seen_at,last_drilled_at
1005-franklin-st,1005,FRANKLIN ST,,2026-06-07,2026-06-07
1005-hill-st,1005,HILL ST,4285001007,2026-06-07,2026-06-07
1005-michigan-ave,1005,MICHIGAN AVE,4283017023,2026-06-07,2026-06-07
1005-washington-ave,1005,WASHINGTON AVE,4281025013,2026-06-07,2026-06-07
1006-21st-st,1006,21ST ST,4277024021,2026-06-07,2026-06-07
1006-broadway,1006,BROADWAY,,2026-06-07,2026-06-07
1006-california-ave,1006,CALIFORNIA AVE,,2026-06-07,2026-06-07
1006-michigan-ave,1006,MICHIGAN AVE,4283023017,2026-06-07,2026-06-07
1006-montana-ave,1006,MONTANA AVE,4281024024,2026-06-07,2026-06-07
1007-12th-st,1007,12TH ST,4281018023,2026-06-07,2026-06-07
1007-16th-st,1007,16TH ST,4281003020,2026-06-07,2026-06-07
1007-20th-st,1007,20TH ST,4277024070,2026-06-07,2026-06-07
1007-6th-st,1007,6TH ST,,2026-06-07,2026-06-07
1007-9th-st,1007,9TH ST,4281029021,2026-06-07,2026-06-07
1007-grant-st,1007,GRANT ST,4284015020,2026-06-07,2026-06-07
1007-lincoln-blvd,1007,LINCOLN BLVD,4281034024,2026-06-07,2026-06-07
1007-michigan-ave,1007,MICHIGAN AVE,4283017023,2026-06-07,2026-06-07
1007-ocean-ave,1007,OCEAN AVE,,2026-06-07,2026-06-07
1007-ocean-park-blvd,1007,OCEAN PARK BLVD,4284009009,2026-06-07,2026-06-07
1007-pacific-st,1007,PACIFIC ST,4284014019,2026-06-07,2026-06-07
1007-pine-st,1007,PINE ST,,2026-06-07,2026-06-07
1008-14th-st,1008,14TH ST,4281013002,2026-06-07,2026-06-07
1008-17th-st,1008,17TH ST,4281003044,2026-06-07,2026-06-07
1008-18th-st,1008,18TH ST,,2026-06-07,2026-06-07
1008-20th-st,1008,20TH ST,4277025020,2026-06-07,2026-06-07
1008-2nd-st,1008,2ND ST,4292027003,2026-06-07,2026-06-07
1008-5th-st,1008,5TH ST,4292014002,2026-06-07,2026-06-07
1008-6th-st,1008,6TH ST,4292011059,2026-06-07,2026-06-07
1008-7th-st,1008,7TH ST,4292006002,2026-06-07,2026-06-07
1008-9th-st,1008,9TH ST,,2026-06-07,2026-06-07
1008-cedar-st,1008,CEDAR ST,,2026-06-07,2026-06-07
1008-euclid-st,1008,EUCLID ST,4281018002,2026-06-07,2026-06-07
1008-hill-st,1008,HILL ST,4285012030,2026-06-07,2026-06-07
1008-maple-st,1008,MAPLE ST,,2026-06-07,2026-06-07
1008-michigan-ave,1008,MICHIGAN AVE,4283023017,2026-06-07,2026-06-07
1008-pearl-st,1008,PEARL ST,4284012013,2026-06-07,2026-06-07
1009-10th-st,1009,10TH ST,4281026015,2026-06-07,2026-06-07
1009-12th-st,1009,12TH ST,4281018023,2026-06-07,2026-06-07
1009-16th-st,1009,16TH ST,4281003020,2026-06-07,2026-06-07
1009-17th-st,1009,17TH ST,4277027002,2026-06-07,2026-06-07
1009-18th-st,1009,18TH ST,4277026027,2026-06-07,2026-06-07
1009-9th-st,1009,9TH ST,4281029021,2026-06-07,2026-06-07
1009-ashland-ave,1009,ASHLAND AVE,4285012015,2026-06-07,2026-06-07
1009-bay-st,1009,BAY ST,4284016019,2026-06-07,2026-06-07
1009-centinela-ave,1009,CENTINELA AVE,,2026-06-07,2026-06-07
101-california-ave,101,CALIFORNIA AVE,4292027110,2026-06-07,2026-06-07
101-foxtail-dr,101,FOXTAIL DR,,2026-06-07,2026-06-07
101-marguerita-ave,101,MARGUERITA AVE,4293007018,2026-06-07,2026-06-07
101-palisades-ave,101,PALISADES AVE,4293015001,2026-06-07,2026-06-07
101-santa-monica-blvd,101,SANTA MONICA BLVD,4291014025,2026-06-07,2026-06-07
101-strand-st,101,STRAND ST,4289022006,2026-06-07,2026-06-07
1010-10th-st,1010,10TH ST,4281029002,2026-06-07,2026-06-07
1010-14th-st,1010,14TH ST,4281013002,2026-06-07,2026-06-07
1010-19th-st,1010,19TH ST,4277026054,2026-06-07,2026-06-07
1010-21st-st,1010,21ST ST,4277024022,2026-06-07,2026-06-07
1010-4th-st,1010,4TH ST,4292019034,2026-06-07,2026-06-07
1010-berkeley-st,1010,BERKELEY ST,,2026-06-07,2026-06-07
1010-broadway,1010,BROADWAY,4282030024,2026-06-07,2026-06-07
1010-california-ave,1010,CALIFORNIA AVE,,2026-06-07,2026-06-07
1010-hill-st,1010,HILL ST,4285012030,2026-06-07,2026-06-07
1010-pacific-st,1010,PACIFIC ST,4284013002,2026-06-07,2026-06-07
1010-pico-blvd,1010,PICO BLVD,4284016002,2026-06-07,2026-06-07
1011-11th-st,1011,11TH ST,,2026-06-07,2026-06-07
1011-19th-st,1011,19TH ST,4277025007,2026-06-07,2026-06-07
1011-4th-st,1011,4TH ST,4292014027,2026-06-07,2026-06-07
1011-5th-st,1011,5TH ST,4292011040,2026-06-07,2026-06-07
1011-6th-st,1011,6TH ST,4292006019,2026-06-07,2026-06-07
1011-euclid-st,1011,EUCLID ST,,2026-06-07,2026-06-07
1011-georgina-ave,1011,GEORGINA AVE,,2026-06-07,2026-06-07
1011-grant-st,1011,GRANT ST,4284015019,2026-06-07,2026-06-07
1011-hill-st,1011,HILL ST,4285001008,2026-06-07,2026-06-07
1011-pacific-st,1011,PACIFIC ST,,2026-06-07,2026-06-07
1011-pearl-st,1011,PEARL ST,4284013021,2026-06-07,2026-06-07
1011-pico-blvd,1011,PICO BLVD,,2026-06-07,2026-06-07
1011-pier-ave,1011,PIER AVE,,2026-06-07,2026-06-07
1012-10th-st,1012,10TH ST,,2026-06-07,2026-06-07
1012-17th-st,1012,17TH ST,4281003062,2026-06-07,2026-06-07
1012-3rd-st,1012,3RD ST,4292022041,2026-06-07,2026-06-07
1012-7th-st,1012,7TH ST,4292006038,2026-06-07,2026-06-07
1012-broadway,1012,BROADWAY,4282030023,2026-06-07,2026-06-07
1012-euclid-st,1012,EUCLID ST,4281018003,2026-06-07,2026-06-07
1012-hill-st,1012,HILL ST,4285012029,2026-06-07,2026-06-07
1012-maple-st,1012,MAPLE ST,4284009013,2026-06-07,2026-06-07
1012-michigan-ave,1012,MICHIGAN AVE,4283023016,2026-06-07,2026-06-07
1012-pacific-st,1012,PACIFIC ST,4284013003,2026-06-07,2026-06-07
1012-pearl-st,1012,PEARL ST,,2026-06-07,2026-06-07
1013-12th-st,1013,12TH ST,4281018022,2026-06-07,2026-06-07
1013-2nd-st,1013,2nd ST,,2026-06-07,2026-06-07
1013-6th-st,1013,6TH ST,4292006019,2026-06-07,2026-06-07
1013-bay-st,1013,BAY ST,4284016018,2026-06-07,2026-06-07
1013-centinela-ave,1013,CENTINELA AVE,,2026-06-07,2026-06-07
1013-maple-st,1013,MAPLE ST,,2026-06-07,2026-06-07
1013-ocean-park-blvd,1013,OCEAN PARK BLVD,4284009008,2026-06-07,2026-06-07
1013-pico-blvd,1013,PICO BLVD,4283023001,2026-06-07,2026-06-07
1014-14th-st,1014,14TH ST,4281013003,2026-06-07,2026-06-07
1014-18th-st,1014,18TH ST,4277027019,2026-06-07,2026-06-07
1014-23rd-st,1014,23RD ST,,2026-06-07,2026-06-07
1014-4th-st,1014,4TH ST,4292019089,2026-06-07,2026-06-07
1014-5th-st,1014,5TH ST,4292014003,2026-06-07,2026-06-07
1014-6th-st,1014,6TH ST,4292011064,2026-06-07,2026-06-07
1014-9th-st,1014,9TH ST,,2026-06-07,2026-06-07
1014-bay-st,1014,BAY ST,,2026-06-07,2026-06-07
1014-berkeley-st,1014,BERKELEY ST,,2026-06-07,2026-06-07
1014-california-ave,1014,CALIFORNIA AVE,,2026-06-07,2026-06-07
1014-cedar-st,1014,CEDAR ST,,2026-06-07,2026-06-07
1014-euclid-st,1014,EUCLID ST,4281018003,2026-06-07,2026-06-07
1014-grant-st,1014,GRANT ST,4284014002,2026-06-07,2026-06-07
1014-hill-st,1014,HILL ST,4285012029,2026-06-07,2026-06-07
1014-maple-st,1014,MAPLE ST,4284009013,2026-06-07,2026-06-07
1014-pier-ave,1014,PIER AVE,4285029021,2026-06-07,2026-06-07
1015-17th-st,1015,17TH ST,,2026-06-07,2026-06-07
1015-18th-st,1015,18TH ST,4277026015,2026-06-07,2026-06-07
1015-19th-st,1015,19TH ST,4277025001,2026-06-07,2026-06-07
1015-20th-st,1015,20TH ST,4277024024,2026-06-07,2026-06-07
1015-21st-st,1015,21ST ST,,2026-06-07,2026-06-07
1015-25th-st,1015,25TH ST,,2026-06-07,2026-06-07
1015-2nd-st,1015,2ND ST,4292022019,2026-06-07,2026-06-07
1015-3rd-st,1015,3RD ST,4292019014,2026-06-07,2026-06-07
1015-9th-st,1015,9TH ST,4281029019,2026-06-07,2026-06-07
1015-ashland-ave,1015,ASHLAND AVE,4285012016,2026-06-07,2026-06-07
1015-franklin-st,1015,FRANKLIN ST,,2026-06-07,2026-06-07
1015-georgina-ave,1015,GEORGINA AVE,4280006009,2026-06-07,2026-06-07
1015-pico-blvd,1015,PICO BLVD,4283023001,2026-06-07,2026-06-07
1015-pier-ave,1015,PIER AVE,4285028023,2026-06-07,2026-06-07
1015-san-vicente-blvd,1015,SAN VICENTE BLVD,,2026-06-07,2026-06-07
1016-25th-st,1016,25TH ST,,2026-06-07,2026-06-07
1016-centinela-ave,1016,CENTINELA AVE,4266002061,2026-06-07,2026-06-07
1016-chelsea-ave,1016,CHELSEA AVE,4277020014,2026-06-07,2026-06-07
1016-pier-ave,1016,PIER AVE,,2026-06-07,2026-06-07
1016-san-vicente-blvd,1016,SAN VICENTE BLVD,,2026-06-07,2026-06-07
1017-10th-st,1017,10TH ST,4281026023,2026-06-07,2026-06-07
1017-16th-st,1017,16TH ST,4281003018,2026-06-07,2026-06-07
1017-20th-st,1017,20TH ST,4277024024,2026-06-07,2026-06-07
1017-2nd-st,1017,2ND ST,4292022033,2026-06-07,2026-06-07
1017-4th-st,1017,4TH ST,4292014018,2026-06-07,2026-06-07
1017-5th-st,1017,5TH ST,4292011018,2026-06-07,2026-06-07
1017-9th-st,1017,9TH ST,4281029019,2026-06-07,2026-06-07
1017-centinela-ave,1017,CENTINELA AVE,,2026-06-07,2026-06-07
1017-euclid-st,1017,EUCLID ST,4281013020,2026-06-07,2026-06-07
1017-hill-st,1017,HILL ST,4285001009,2026-06-07,2026-06-07
1017-ocean-ave,1017,OCEAN AVE,4292027016,2026-06-07,2026-06-07
1017-ocean-park-blvd,1017,OCEAN PARK BLVD,4284009007,2026-06-07,2026-06-07
1017-pearl-st,1017,PEARL ST,4284013030,2026-06-07,2026-06-07
1018-10th-st,1018,10TH ST,4281029004,2026-06-07,2026-06-07
1018-17th-st,1018,17TH ST,4281003004,2026-06-07,2026-06-07
1018-20th-st,1018,20TH ST,4277025022,2026-06-07,2026-06-07
1018-21st-st,1018,21ST ST,4277024017,2026-06-07,2026-06-07
1018-23rd-st,1018,23RD ST,4277022013,2026-06-07,2026-06-07
1018-24th-st,1018,24TH ST,,2026-06-07,2026-06-07
1018-26th-st,1018,26TH ST,4277018008,2026-06-07,2026-06-07
1018-2nd-st,1018,2ND ST,,2026-06-07,2026-06-07
1018-4th-st,1018,4TH ST,,2026-06-07,2026-06-07
1018-5th-st,1018,5TH ST,4292014004,2026-06-07,2026-06-07
1018-6th-st,1018,6TH ST,,2026-06-07,2026-06-07
1018-9th-st,1018,9TH ST,4281034006,2026-06-07,2026-06-07
1018-euclid-st,1018,EUCLID ST,4281018005,2026-06-07,2026-06-07
1018-grant-st,1018,GRANT ST,4284014003,2026-06-07,2026-06-07
1018-hill-st,1018,HILL ST,4285012028,2026-06-07,2026-06-07
1018-maple-st,1018,MAPLE ST,4284009014,2026-06-07,2026-06-07
1018-marine-st,1018,MARINE ST,4285036011,2026-06-07,2026-06-07
1018-pacific-st,1018,PACIFIC ST,4284013004,2026-06-07,2026-06-07
1018-palisades-beach-rd,1018,PALISADES BEACH RD,,2026-06-07,2026-06-07
1018-pearl-st,1018,PEARL ST,4284012015,2026-06-07,2026-06-07
1018-stanford-st,1018,STANFORD ST,,2026-06-07,2026-06-07
1019-16th-st,1019,16TH ST,4281003018,2026-06-07,2026-06-07
1019-20th-st,1019,20TH ST,4277024005,2026-06-07,2026-06-07
1019-22nd-st,1019,22ND ST,4277022022,2026-06-07,2026-06-07
1019-6th-st,1019,6TH ST,4292006018,2026-06-07,2026-06-07
1019-bay-st,1019,BAY ST,4284016017,2026-06-07,2026-06-07
1019-grant-st,1019,GRANT ST,,2026-06-07,2026-06-07
1019-hill-st,1019,HILL ST,4285001009,2026-06-07,2026-06-07
1019-pier-ave,1019,PIER AVE,,2026-06-07,2026-06-07
1019-pine-st,1019,PINE ST,4284011007,2026-06-07,2026-06-07
1019-princeton-st,1019,PRINCETON ST,4266015066,2026-06-07,2026-06-07
102-palisades-ave,102,PALISADES AVE,,2026-06-07,2026-06-07
1020-10th-st,1020,10TH ST,4281029004,2026-06-07,2026-06-07
1020-17th-st,1020,17TH ST,4281003004,2026-06-07,2026-06-07
1020-18th-st,1020,18TH ST,4277027018,2026-06-07,2026-06-07
1020-19th-st,1020,19TH ST,4277026070,2026-06-07,2026-06-07
1020-21st-st,1020,21ST ST,4277024018,2026-06-07,2026-06-07
1020-6th-st,1020,6TH ST,4292011005,2026-06-07,2026-06-07
1020-bay-st,1020,BAY ST,4284015004,2026-06-07,2026-06-07
1020-chelsea-ave,1020,CHELSEA AVE,,2026-06-07,2026-06-07
1020-harvard-st,1020,HARVARD ST,,2026-06-07,2026-06-07
1020-idaho-ave,1020,IDAHO AVE,,2026-06-07,2026-06-07
1020-maple-st,1020,MAPLE ST,4284009014,2026-06-07,2026-06-07
1020-palisades-beach-rd,1020,PALISADES BEACH RD,,2026-06-07,2026-06-07
1020-pearl-st,1020,PEARL ST,4284012015,2026-06-07,2026-06-07
1020-pico-blvd,1020,PICO BLVD,4284016004,2026-06-07,2026-06-07
1020-pier-ave,1020,PIER AVE,,2026-06-07,2026-06-07
1020-pine-st,1020,PINE ST,,2026-06-07,2026-06-07
1020-princeton-st,1020,PRINCETON ST,4266015008,2026-06-07,2026-06-07
1021-12th-st,1021,12TH ST,4281018084,2026-06-07,2026-06-07
1021-16th-st,1021,16TH ST,4281003017,2026-06-07,2026-06-07
1021-17th-st,1021,17TH ST,4277027005,2026-06-07,2026-06-07
1021-18th-st,1021,18TH ST,4277026016,2026-06-07,2026-06-07
1021-19th-st,1021,19TH ST,4277025063,2026-06-07,2026-06-07
1021-20th-st,1021,20TH ST,4277024006,2026-06-07,2026-06-07
1021-23rd-st,1021,23RD ST,,2026-06-07,2026-06-07
1021-25th-st,1021,25TH ST,,2026-06-07,2026-06-07
1021-5th-st,1021,5TH ST,4292011101,2026-06-07,2026-06-07
1021-6th-st,1021,6TH ST,4292006017,2026-06-07,2026-06-07
1021-georgina-ave,1021,GEORGINA AVE,,2026-06-07,2026-06-07
1021-grant-st,1021,GRANT ST,4284015017,2026-06-07,2026-06-07
1021-hill-st,1021,HILL ST,4285001056,2026-06-07,2026-06-07
1021-lincoln-blvd,1021,LINCOLN BLVD,4281034031,2026-06-07,2026-06-07
1021-michigan-ave,1021,MICHIGAN AVE,4283017001,2026-06-07,2026-06-07
1021-montana-ave,1021,MONTANA AVE,4280024017,2026-06-07,2026-06-07
1021-pacific-st,1021,PACIFIC ST,4284014016,2026-06-07,2026-06-07
1022-17th-st,1022,17TH ST,4281003005,2026-06-07,2026-06-07
1022-20th-st,1022,20TH ST,4277025022,2026-06-07,2026-06-07
1022-21st-st,1022,21ST ST,4277024019,2026-06-07,2026-06-07
1022-22nd-st,1022,22ND ST,,2026-06-07,2026-06-07
1022-26th-st,1022,26TH ST,,2026-06-07,2026-06-07
1022-2nd-st,1022,2ND ST,4292027006,2026-06-07,2026-06-07
1022-5th-st,1022,5TH ST,4292014004,2026-06-07,2026-06-07
1022-cedar-st,1022,CEDAR ST,4284011016,2026-06-07,2026-06-07
1022-euclid-st,1022,EUCLID ST,4281018006,2026-06-07,2026-06-07
1022-franklin-st,1022,FRANKLIN ST,4266006060,2026-06-07,2026-06-07
1022-grant-st,1022,GRANT ST,4284014004,2026-06-07,2026-06-07
1022-michigan-ave,1022,MICHIGAN AVE,4283024019,2026-06-07,2026-06-07
1022-pacific-st,1022,PACIFIC ST,4284013005,2026-06-07,2026-06-07
1022-palisades-beach-rd,1022,PALISADES BEACH RD,,2026-06-07,2026-06-07
1023-16th-st,1023,16TH ST,4281003017,2026-06-07,2026-06-07
1023-17th-st,1023,17TH ST,4277027005,2026-06-07,2026-06-07
1023-21st-st,1023,21ST ST,4277023008,2026-06-07,2026-06-07
1023-4th-st,1023,4TH ST,,2026-06-07,2026-06-07
1023-9th-st,1023,9TH ST,4281029018,2026-06-07,2026-06-07
1023-ashland-ave,1023,ASHLAND AVE,4285012018,2026-06-07,2026-06-07
1023-centinela-ave,1023,CENTINELA AVE,,2026-06-07,2026-06-07
1023-harvard-st,1023,HARVARD ST,,2026-06-07,2026-06-07
1023-maple-st,1023,MAPLE ST,4284010017,2026-06-07,2026-06-07
1023-ocean-park-blvd,1023,OCEAN PARK BLVD,4284009021,2026-06-07,2026-06-07
1023-pearl-st,1023,PEARL ST,4284013019,2026-06-07,2026-06-07
1023-pico-blvd,1023,PICO BLVD,4283024001,2026-06-07,2026-06-07
1024-12th-st,1024,12TH ST,,2026-06-07,2026-06-07
1024-14th-st,1024,14TH ST,4281013004,2026-06-07,2026-06-07
1024-18th-st,1024,18TH ST,4277027017,2026-06-07,2026-06-07
1024-19th-st,1024,19TH ST,4277026007,2026-06-07,2026-06-07
1024-24th-st,1024,24TH ST,,2026-06-07,2026-06-07
1024-3rd-st,1024,3RD ST,4292022004,2026-06-07,2026-06-07
1024-4th-st,1024,4TH ST,,2026-06-07,2026-06-07
1024-5th-st,1024,5TH ST,,2026-06-07,2026-06-07
1024-7th-st,1024,7TH ST,,2026-06-07,2026-06-07
1024-9th-st,1024,9TH ST,4281034007,2026-06-07,2026-06-07
1024-bay-st,1024,BAY ST,,2026-06-07,2026-06-07
1024-hill-st,1024,HILL ST,4285012027,2026-06-07,2026-06-07
1024-maple-st,1024,MAPLE ST,4284009015,2026-06-07,2026-06-07
1024-michigan-ave,1024,MICHIGAN AVE,4283024019,2026-06-07,2026-06-07
1024-palisades-beach-rd,1024,PALISADES BEACH RD,4292031001,2026-06-07,2026-06-07
1024-pearl-st,1024,PEARL ST,,2026-06-07,2026-06-07
1024-pico-blvd,1024,PICO BLVD,4284016005,2026-06-07,2026-06-07
1024-pier-ave,1024,PIER AVE,4285029045,2026-06-07,2026-06-07
1024-pine-st,1024,PINE ST,4284010005,2026-06-07,2026-06-07
1024-princeton-st,1024,PRINCETON ST,,2026-06-07,2026-06-07
1024-stanford-st,1024,STANFORD ST,,2026-06-07,2026-06-07
1025-17th-st,1025,17TH ST,4277027006,2026-06-07,2026-06-07
1025-18th-st,1025,18TH ST,4277026017,2026-06-07,2026-06-07
1025-19th-st,1025,19TH ST,4277025003,2026-06-07,2026-06-07
1025-24th-st,1025,24TH ST,,2026-06-07,2026-06-07
1025-25th-st,1025,25TH ST,4277018011,2026-06-07,2026-06-07
1025-2nd-st,1025,2ND ST,4292022017,2026-06-07,2026-06-07
1025-9th-st,1025,9TH ST,4281029017,2026-06-07,2026-06-07
1025-california-ave,1025,CALIFORNIA AVE,,2026-06-07,2026-06-07
1025-euclid-st,1025,EUCLID ST,,2026-06-07,2026-06-07
1025-idaho-ave,1025,IDAHO AVE,4281024057,2026-06-07,2026-06-07
1025-ocean-ave,1025,OCEAN AVE,4292027021,2026-06-07,2026-06-07
1025-pico-blvd,1025,PICO BLVD,4283024001,2026-06-07,2026-06-07
1026-14th-st,1026,14TH ST,4281013005,2026-06-07,2026-06-07
1026-21st-st,1026,21ST ST,4277024016,2026-06-07,2026-06-07
1026-6th-st,1026,6TH ST,4292011006,2026-06-07,2026-06-07
1026-cedar-st,1026,CEDAR ST,,2026-06-07,2026-06-07
1026-grant-st,1026,GRANT ST,4284014005,2026-06-07,2026-06-07
1026-ocean-park-blvd,1026,OCEAN PARK BLVD,4285001028,2026-06-07,2026-06-07
1026-ozone-ave,1026,OZONE AVE,,2026-06-07,2026-06-07
1027-10th-st,1027,10TH ST,,2026-06-07,2026-06-07
1027-11th-st,1027,11TH ST,,2026-06-07,2026-06-07
1027-12th-st,1027,12TH ST,4281018020,2026-06-07,2026-06-07
1027-16th-st,1027,16TH ST,4281003016,2026-06-07,2026-06-07
1027-18th-st,1027,18TH ST,4277026017,2026-06-07,2026-06-07
1027-20th-st,1027,20TH ST,4277024007,2026-06-07,2026-06-07
1027-21st-st,1027,21ST ST,,2026-06-07,2026-06-07
1027-23rd-st,1027,23RD ST,,2026-06-07,2026-06-07
1027-4th-st,1027,4TH ST,4292014016,2026-06-07,2026-06-07
1027-9th-st,1027,9TH ST,4281029017,2026-06-07,2026-06-07
1027-ashland-ave,1027,ASHLAND AVE,,2026-06-07,2026-06-07
1027-chelsea-ave,1027,CHELSEA AVE,,2026-06-07,2026-06-07
1027-euclid-st,1027,EUCLID ST,4281013018,2026-06-07,2026-06-07
1027-georgina-ave,1027,GEORGINA AVE,,2026-06-07,2026-06-07
1027-grant-st,1027,GRANT ST,4284015016,2026-06-07,2026-06-07
1027-hill-st,1027,HILL ST,4285001065,2026-06-07,2026-06-07
1027-lincoln-blvd,1027,LINCOLN BLVD,4281034020,2026-06-07,2026-06-07
1027-pacific-st,1027,PACIFIC ST,4284014015,2026-06-07,2026-06-07
1027-pearl-st,1027,PEARL ST,,2026-06-07,2026-06-07
1027-pico-blvd,1027,PICO BLVD,4283024001,2026-06-07,2026-06-07
1028-10th-st,1028,10TH ST,4281029006,2026-06-07,2026-06-07
1028-12th-st,1028,12TH ST,4281021006,2026-06-07,2026-06-07
1028-14th-st,1028,14TH ST,4281013006,2026-06-07,2026-06-07
1028-17th-st,1028,17TH ST,4281003006,2026-06-07,2026-06-07
1028-18th-st,1028,18TH ST,4277027016,2026-06-07,2026-06-07
1028-19th-st,1028,19TH ST,4277026095,2026-06-07,2026-06-07
1028-21st-st,1028,21ST ST,4277024015,2026-06-07,2026-06-07
1028-23rd-st,1028,23RD ST,,2026-06-07,2026-06-07
1028-2nd-st,1028,2ND ST,4292027007,2026-06-07,2026-06-07
1028-3rd-st,1028,3RD ST,4292022005,2026-06-07,2026-06-07
1028-4th-st,1028,4TH ST,4292019006,2026-06-07,2026-06-07
1028-6th-st,1028,6TH ST,4292011006,2026-06-07,2026-06-07
1028-7th-st,1028,7TH ST,4292006005,2026-06-07,2026-06-07
1028-euclid-st,1028,EUCLID ST,4281018007,2026-06-07,2026-06-07
1028-grant-st,1028,GRANT ST,4284014005,2026-06-07,2026-06-07
1028-hill-st,1028,HILL ST,4285012026,2026-06-07,2026-06-07
1028-pearl-st,1028,PEARL ST,4284012017,2026-06-07,2026-06-07
1028-pine-st,1028,PINE ST,,2026-06-07,2026-06-07
1029-18th-st,1029,18TH ST,4277026017,2026-06-07,2026-06-07
1029-19th-st,1029,19TH ST,4277025004,2026-06-07,2026-06-07
1029-24th-st,1029,24TH ST,,2026-06-07,2026-06-07
1029-2nd-st,1029,2ND ST,4292022016,2026-06-07,2026-06-07
1029-california-ave,1029,CALIFORNIA AVE,,2026-06-07,2026-06-07
1029-centinela-ave,1029,CENTINELA AVE,,2026-06-07,2026-06-07
1029-hill-st,1029,HILL ST,4285001069,2026-06-07,2026-06-07
1029-pearl-st,1029,PEARL ST,,2026-06-07,2026-06-07
1029-pico-blvd,1029,PICO BLVD,4283024001,2026-06-07,2026-06-07
1029-pine-st,1029,PINE ST,4284011004,2026-06-07,2026-06-07
103-palisades-ave,103,PALISADES AVE,4293015001,2026-06-07,2026-06-07
103-strand-st,103,STRAND ST,4289022006,2026-06-07,2026-06-07
1030-20th-st,1030,20TH ST,4277025017,2026-06-07,2026-06-07
