unit_id,apn,address,unit_label,prev_observed_at,observed_at,old_mar_cents,new_mar_cents,delta_cents,delta_pct,old_tenancy,new_tenancy,reason,mar_status_change
1002-marine-st-16,4285036023,1002 MARINE ST,16,2023-07-19,2026-06-07,82000,142000,60000,73.2,2010-12-28,2024-11-06,new_tenancy,
1002-marine-st-2,4285036023,1002 MARINE ST,2,2023-07-19,2026-06-07,101200,109600,8400,8.3,2020-03-01,2020-03-01,mar_adjustment,
1002-marine-st-3,4285036023,1002 MARINE ST,3,2023-07-19,2026-06-07,117600,127400,9800,8.3,2021-04-12,2021-04-12,mar_adjustment,
1002-marine-st-4,4285036023,1002 MARINE ST,4,2023-07-19,2026-06-07,99200,107500,8300,8.4,2022-03-28,2022-03-28,mar_adjustment,
1002-marine-st-5,4285036023,1002 MARINE ST,5,2023-07-19,2026-06-07,71200,77100,5900,8.3,2002-10-21,2002-10-21,mar_adjustment,
1002-marine-st-6,4285036023,1002 MARINE ST,6,2023-07-19,2026-06-07,74600,142000,67400,90.3,2016-08-01,2024-08-01,new_tenancy,
1002-marine-st-7,4285036023,1002 MARINE ST,7,2023-07-19,2026-06-07,69900,75800,5900,8.4,2011-06-13,2011-06-13,mar_adjustment,
1002-marine-st-8,4285036023,1002 MARINE ST,8,2023-07-19,2026-06-07,74600,154700,80100,107.4,2016-08-28,2026-01-15,new_tenancy,
1002-marine-st-9,4285036023,1002 MARINE ST,9,2023-07-19,2026-06-07,50900,55100,4200,8.3,1999-06-15,1999-06-15,mar_adjustment,
1002-pier-ave-a,4285029023,1002 PIER AVE,A,2023-07-19,2026-06-07,178100,192900,14800,8.3,,,mar_adjustment,
1003-12th-st,4281018024,1003 12TH ST,,2023-07-19,2026-06-07,340000,360300,20300,6.0,2021-11-09,2021-11-09,mar_adjustment,
1003-ashland-ave,4285012014,1003 ASHLAND AVE,,2023-07-19,2026-06-07,269500,265500,-4000,-1.5,2022-03-11,2023-09-15,new_tenancy,
1003-ashland-ave-a,4285012014,1003 ASHLAND AVE,A,2023-07-19,2026-06-07,231800,251000,19200,8.3,2021-02-11,2021-02-11,mar_adjustment,
1003-ashland-ave-b,4285012014,1003 ASHLAND AVE,B,2023-07-19,2026-06-07,355000,339500,-15500,-4.4,2022-05-19,2026-03-07,new_tenancy,
1003-ashland-ave-c,4285012014,1003 ASHLAND AVE,C,2023-07-19,2026-06-07,442000,499500,57500,13.0,2021-03-10,2025-02-01,new_tenancy,
1003-grant-st,4284015021,1003 GRANT ST,,2023-07-19,2026-06-07,410900,450000,39100,9.5,2020-03-07,2026-01-10,new_tenancy,
1003-michigan-ave,4283017023,1003 MICHIGAN AVE,,2023-07-19,2026-06-07,72600,78600,6000,8.3,,,mar_adjustment,
1003-washington-ave,4281025013,1003 WASHINGTON AVE,,2023-07-19,2026-06-07,76900,83400,6500,8.5,,,mar_adjustment,
1004-10th-st,4281029001,1004 10TH ST,,2023-07-19,2026-06-07,764100,784400,20300,2.7,2019-08-01,2019-08-01,mar_adjustment,
1004-michigan-ave,4283023017,1004 MICHIGAN AVE,,2023-07-19,2026-06-07,178100,192900,14800,8.3,,,mar_adjustment,
1004-pine-st,4284010001,1004 PINE ST,,2023-07-19,2026-06-07,323500,343800,20300,6.3,2016-02-01,2016-02-01,mar_adjustment,
