unit_id,apn,address,unit_label,bedrooms,status,mar_2023_cents,mar_2026_cents,mar_delta_cents,mar_pct,tenancy_2023,tenancy_2026,tenancy_changed
1017-euclid-st-10,4281013020,1017 EUCLID ST,10,0,present_both,86300,93500,7200,8.3,,,
1017-euclid-st-2,4281013020,1017 EUCLID ST,2,1,present_both,133800,144900,11100,8.3,,,
1017-euclid-st-3,4281013020,1017 EUCLID ST,3,1,present_both,171000,185300,14300,8.4,2000-06-01,2000-06-01,
1017-euclid-st-4,4281013020,1017 EUCLID ST,4,1,present_both,115100,124600,9500,8.3,,,
1017-euclid-st-5,4281013020,1017 EUCLID ST,5,2,present_both,277000,297300,20300,7.3,2021-04-01,2021-04-01,
1017-euclid-st-6,4281013020,1017 EUCLID ST,6,1,present_both,234300,253800,19500,8.3,2021-04-28,2021-04-28,
1017-euclid-st-7,4281013020,1017 EUCLID ST,7,1,present_both,277000,297300,20300,7.3,2020-10-01,2020-10-01,
1017-euclid-st-8,4281013020,1017 EUCLID ST,8,1,present_both,95200,103100,7900,8.3,,,
1017-euclid-st-9,4281013020,1017 EUCLID ST,9,0,present_both,154500,167400,12900,8.3,2021-03-29,2021-03-29,
1017-hill-st,4285001009,1017 HILL ST,,1,present_both,228600,247700,19100,8.4,2004-03-01,2004-03-01,
1017-ocean-ave-a,4292027016,1017 OCEAN AVE,A,1,present_both,294600,314900,20300,6.9,2013-04-17,2013-04-17,
1017-ocean-ave-b,4292027016,1017 OCEAN AVE,B,1,present_both,243300,360000,116700,48.0,2005-05-01,2025-11-12,1
1017-ocean-ave-c,4292027016,1017 OCEAN AVE,C,1,present_both,162800,176400,13600,8.4,,,
1017-ocean-ave-d,4292027016,1017 OCEAN AVE,D,1,present_both,320900,325000,4100,1.3,2020-06-27,2026-01-16,1
1017-ocean-ave-e,4292027016,1017 OCEAN AVE,E,1,present_both,217800,235900,18100,8.3,2004-01-01,2004-01-01,
1017-ocean-ave-f,4292027016,1017 OCEAN AVE,F,1,present_both,270000,305000,35000,13.0,2021-11-29,2026-03-03,1
1017-ocean-ave-g,4292027016,1017 OCEAN AVE,G,2,present_both,400900,421200,20300,5.1,2019-10-19,2019-10-19,
1017-ocean-park-blvd-1,4284009007,1017 OCEAN PARK BLVD,1,1,present_both,349500,363100,13600,3.9,2022-07-30,2023-08-28,1
1017-ocean-park-blvd-2,4284009007,1017 OCEAN PARK BLVD,2,1,present_both,147700,160000,12300,8.3,2015-11-01,2015-11-01,
1017-ocean-park-blvd-3,4284009007,1017 OCEAN PARK BLVD,3,2,present_both,97300,105400,8100,8.3,,,
1017-ocean-park-blvd-4,4284009007,1017 OCEAN PARK BLVD,4,2,present_both,209900,227400,17500,8.3,2013-01-01,2013-01-01,
