unit_id,apn,bedrooms,mar_status,parcel_unit_count,size_class,use_class,rcb_comparable
1008-14th-st-c,4281013002,1,controlled,5,multifamily,four,1
1008-14th-st-d,4281013002,1,controlled,5,multifamily,four,1
1008-17th-st-1,4281003044,3+,controlled,6,multifamily,five_plus,1
1008-17th-st-2,4281003044,2,controlled,6,multifamily,five_plus,1
1008-17th-st-3,4281003044,2,controlled,6,multifamily,five_plus,1
1008-17th-st-4,4281003044,3+,controlled,6,multifamily,five_plus,1
1008-17th-st-5,4281003044,3+,controlled,6,multifamily,five_plus,1
1008-17th-st-6,4281003044,3+,controlled,6,multifamily,five_plus,1
1008-20th-st-1,4277025020,2,controlled,8,multifamily,five_plus,1
1008-20th-st-2,4277025020,1,controlled,8,multifamily,five_plus,1
1008-20th-st-3,4277025020,1,controlled,8,multifamily,five_plus,1
1008-20th-st-4,4277025020,3+,controlled,8,multifamily,five_plus,1
1008-20th-st-5,4277025020,2,controlled,8,multifamily,five_plus,1
1008-20th-st-6,4277025020,1,controlled,8,multifamily,five_plus,1
1008-20th-st-7,4277025020,1,controlled,8,multifamily,five_plus,1
1008-20th-st-8,4277025020,3+,controlled,8,multifamily,five_plus,1
1008-2nd-st-101,4292027003,2,controlled,14,multifamily,five_plus,1
1008-2nd-st-102,4292027003,1,controlled,14,multifamily,five_plus,1
1008-2nd-st-103,4292027003,1,controlled,14,multifamily,five_plus,1
1008-2nd-st-104,4292027003,1,controlled,14,multifamily,five_plus,1
1008-2nd-st-105,4292027003,1,controlled,14,multifamily,five_plus,1
1008-2nd-st-201,4292027003,2,controlled,14,multifamily,five_plus,1
1008-2nd-st-202,4292027003,2,controlled,14,multifamily,five_plus,1
1008-2nd-st-203,4292027003,1,controlled,14,multifamily,five_plus,1
1008-2nd-st-204,4292027003,1,controlled,14,multifamily,five_plus,1
1008-2nd-st-205,4292027003,1,controlled,14,multifamily,five_plus,1
1008-2nd-st-301,4292027003,2,controlled,14,multifamily,five_plus,1
1008-2nd-st-302,4292027003,1,controlled,14,multifamily,five_plus,1
1008-2nd-st-303,4292027003,2,controlled,14,multifamily,five_plus,1
1008-2nd-st-304,4292027003,2,controlled,14,multifamily,five_plus,1
1008-5th-st-1,4292014002,3+,controlled,6,multifamily,five_plus,1
1008-5th-st-2,4292014002,3+,controlled,6,multifamily,five_plus,1
1008-5th-st-3,4292014002,0,controlled,6,multifamily,five_plus,1
1008-5th-st-4,4292014002,0,controlled,6,multifamily,five_plus,1
1008-5th-st-5,4292014002,0,controlled,6,multifamily,five_plus,1
1008-5th-st-6,4292014002,2,controlled,6,multifamily,five_plus,1
1008-6th-st-a,4292011049,1,controlled,1,single,single,0
1008-6th-st-b,4292011050,1,controlled,1,single,single,0
1008-6th-st-c,4292011051,1,controlled,1,single,single,0
1008-6th-st-d,4292011056,1,controlled,1,single,single,0
1008-6th-st-e,4292011057,1,controlled,1,single,single,0
1008-6th-st-f,4292011058,1,controlled,1,single,single,0
1008-6th-st-g,4292011059,2,controlled,1,single,single,0
1008-6th-st-h,4292011052,0,controlled,1,single,single,0
1008-7th-st-1,4292006002,1,controlled,11,multifamily,five_plus,1
1008-7th-st-10,4292006002,1,controlled,11,multifamily,five_plus,1
1008-7th-st-11,4292006002,2,controlled,11,multifamily,five_plus,1
1008-7th-st-2,4292006002,2,controlled,11,multifamily,five_plus,1
1008-7th-st-3,4292006002,1,controlled,11,multifamily,five_plus,1
1008-7th-st-4,4292006002,1,controlled,11,multifamily,five_plus,1
1008-7th-st-5,4292006002,1,controlled,11,multifamily,five_plus,1
1008-7th-st-6,4292006002,2,controlled,11,multifamily,five_plus,1
1008-7th-st-7,4292006002,2,controlled,11,multifamily,five_plus,1
1008-7th-st-8,4292006002,1,controlled,11,multifamily,five_plus,1
1008-7th-st-9,4292006002,1,controlled,11,multifamily,five_plus,1
1008-euclid-st,4281018002,2,zero_mar,4,multifamily,four,0
1008-euclid-st-a,4281018002,0,controlled,4,multifamily,four,1
1008-euclid-st-b,4281018002,1,controlled,4,multifamily,four,1
1008-euclid-st-c,4281018002,1,controlled,4,multifamily,four,1
1008-hill-st,4285012030,2,controlled,4,multifamily,four,1
1008-michigan-ave,4283023017,1,controlled,3,small,two_three,0
1008-pearl-st,4284012013,2,controlled,2,small,two_three,0
1008-pearl-st-1-2,4284012013,1,zero_mar,2,small,two_three,0
1009-10th-st-1,4281026015,1,controlled,5,multifamily,five_plus,1
1009-10th-st-2,4281026015,2,controlled,5,multifamily,five_plus,1
1009-10th-st-3,4281026015,2,controlled,5,multifamily,five_plus,1
1009-10th-st-4,4281026015,1,controlled,5,multifamily,five_plus,1
1009-10th-st-5,4281026015,1,controlled,5,multifamily,five_plus,1
1009-12th-st,4281018023,2,controlled,2,small,two_three,0
1009-16th-st,4281003020,2,controlled,4,multifamily,two_three,0
1009-16th-st-1-2,4281003020,1,controlled,4,multifamily,two_three,0
1009-17th-st-a,4277027002,1,controlled,5,multifamily,five_plus,1
1009-17th-st-b,4277027002,1,controlled,5,multifamily,five_plus,1
1009-17th-st-c,4277027002,1,controlled,5,multifamily,five_plus,1
1009-17th-st-d,4277027002,1,controlled,5,multifamily,five_plus,1
1009-17th-st-e,4277027002,1,controlled,5,multifamily,five_plus,1
1009-18th-st-a,4277026027,0,zero_mar,4,multifamily,other,0
1009-18th-st-b,4277026027,0,zero_mar,4,multifamily,other,0
1009-18th-st-c,4277026027,0,zero_mar,4,multifamily,other,0
1009-18th-st-d,4277026027,1,controlled,4,multifamily,other,1
1009-9th-st-1,4281029021,1,controlled,7,multifamily,five_plus,1
1009-9th-st-2,4281029021,2,controlled,7,multifamily,five_plus,1
1009-9th-st-3,4281029021,1,controlled,7,multifamily,five_plus,1
1009-9th-st-4,4281029021,1,controlled,7,multifamily,five_plus,1
1009-ashland-ave,4285012015,2,controlled,4,multifamily,four,1
1009-ashland-ave-a,4285012015,1,controlled,4,multifamily,four,1
1009-ashland-ave-b,4285012015,1,controlled,4,multifamily,four,1
1009-ashland-ave-c,4285012015,1,controlled,4,multifamily,four,1
1009-bay-st,4284016019,2,zero_mar,4,multifamily,four,0
1009-bay-st-1,4284016019,2,controlled,4,multifamily,four,1
1009-bay-st-2,4284016019,2,controlled,4,multifamily,four,1
1009-bay-st-3,4284016019,2,controlled,4,multifamily,four,1
101-california-ave-1003,4292027087,0,zero_mar,1,single,single,0
101-california-ave-103,4292027025,1,controlled,1,single,single,0
101-california-ave-1202,4292027100,0,zero_mar,1,single,single,0
101-california-ave-1402,4292027107,2,controlled,1,single,single,0
101-california-ave-1403,4292027108,1,controlled,1,single,single,0
101-california-ave-1405,4292027110,1,controlled,1,single,single,0
101-california-ave-203,4292027031,1,zero_mar,1,single,single,0
101-california-ave-207,4292027035,2,zero_mar,1,single,single,0
101-california-ave-301,4292027036,2,controlled,1,single,single,0
101-california-ave-405,4292027047,1,controlled,1,single,single,0
101-california-ave-505,4292027054,0,zero_mar,1,single,single,0
101-california-ave-506,4292027055,2,controlled,1,single,single,0
101-california-ave-601,4292027057,2,controlled,1,single,single,0
101-california-ave-602,4292027058,2,controlled,1,single,single,0
101-california-ave-605,4292027061,1,controlled,1,single,single,0
101-california-ave-607,4292027063,2,controlled,1,single,single,0
101-california-ave-701,4292027064,0,zero_mar,1,single,single,0
101-california-ave-805,4292027075,0,zero_mar,1,single,single,0
101-california-ave-807,4292027077,0,zero_mar,1,single,single,0
101-california-ave-905,4292027082,1,controlled,1,single,single,0
101-marguerita-ave-a,4293007018,2,controlled,20,multifamily,five_plus,1
101-marguerita-ave-b,4293007018,2,controlled,20,multifamily,five_plus,1
